file,valid,meshes,materials,images,textures,skins,animations,all_tri_primitives_have_normals,all_tri_primitives_have_uv0,bytes
01_runtime_3d/models_pbr_v10/plants/PLANT_HANGING_001.glb,True,32,4,12,12,0,0,True,True,585492
01_runtime_3d/models_pbr_v10/plants/PLANT_LARGE_REALISTIC_HERO_001.glb,True,46,4,12,12,0,0,True,True,791636
01_runtime_3d/models_pbr_v10/plants/PLANT_MEDIUM_001.glb,True,26,3,9,9,0,0,True,True,450676
01_runtime_3d/models_pbr_v10/plants/PLANT_SMALL_DESK_001.glb,True,8,2,6,6,0,0,True,True,220328
01_runtime_3d/models_pbr_v10/props/BINDER_SET_001.glb,True,5,5,15,15,0,0,True,True,994096
01_runtime_3d/models_pbr_v10/props/BOOK_STACK_001.glb,True,4,4,12,12,0,0,True,True,1072740
01_runtime_3d/models_pbr_v10/props/CABLE_SET_001.glb,True,2,1,3,3,0,0,True,True,89504
01_runtime_3d/models_pbr_v10/props/COFFEE_TAKEOUT_001.glb,True,3,3,9,9,0,0,True,True,595156
01_runtime_3d/models_pbr_v10/props/DESK_LAMP_SLIM_001.glb,True,5,2,6,6,0,0,True,True,158132
01_runtime_3d/models_pbr_v10/props/DESK_PHONE_001.glb,True,14,2,6,6,0,0,True,True,306444
01_runtime_3d/models_pbr_v10/props/DOCUMENT_TRAY_001.glb,True,2,2,6,6,0,0,True,True,160048
01_runtime_3d/models_pbr_v10/props/HEADSET_001.glb,True,14,1,3,3,0,0,True,True,109368
01_runtime_3d/models_pbr_v10/props/KEYBOARD_MOUSE_SET_001.glb,True,18,2,6,6,0,0,True,True,318860
01_runtime_3d/models_pbr_v10/props/LAPTOP_OPEN_001.glb,True,4,3,9,9,0,0,True,True,293176
01_runtime_3d/models_pbr_v10/props/MONITOR_DUAL_001.glb,True,8,3,9,9,0,0,True,True,234472
01_runtime_3d/models_pbr_v10/props/MONITOR_SINGLE_001.glb,True,4,3,9,9,0,0,True,True,228168
01_runtime_3d/models_pbr_v10/props/MUG_CERAMIC_001.glb,True,4,2,6,6,0,0,True,True,291992
01_runtime_3d/models_pbr_v10/props/PAPER_STACK_001.glb,True,6,1,3,3,0,0,True,True,77052
01_runtime_3d/models_pbr_v10/props/PEN_HOLDER_001.glb,True,6,3,9,9,0,0,True,True,209208
01_runtime_3d/models_pbr_v10/reception/LOBBY_DECOR_SHELF_001.glb,True,21,8,24,24,0,0,True,True,1565348
01_runtime_3d/models_pbr_v10/reception/RECEPTION_BACKWALL_WOOD_SLAT_HERO_001.glb,True,27,4,11,11,0,0,True,True,559672
01_runtime_3d/models_pbr_v10/reception/RECEPTION_BRAND_WALL_001.glb,True,27,4,11,11,0,0,True,True,559672
01_runtime_3d/models_pbr_v10/reception/RECEPTION_COUNTER_LIGHT_STRIP_001.glb,True,1,1,3,3,0,0,True,True,26424
01_runtime_3d/models_pbr_v10/reception/RECEPTION_DESK_MARBLE_HERO_001.glb,True,23,5,12,12,0,0,True,True,678168
01_runtime_3d/models_pbr_v10/reception/RECEPTION_STAFF_CHAIR_001.glb,True,19,5,15,15,0,0,True,True,628272
01_runtime_3d/models_pbr_v10/storage/CABINET_FILE_001.glb,True,7,3,9,9,0,0,True,True,496204
01_runtime_3d/models_pbr_v10/storage/LOCKER_001.glb,True,16,3,9,9,0,0,True,True,504932
01_runtime_3d/models_pbr_v10/storage/PRINTER_MFP_001.glb,True,5,3,9,9,0,0,True,True,323264
01_runtime_3d/models_pbr_v10/storage/SHELF_OPEN_001.glb,True,21,8,24,24,0,0,True,True,1565348
01_runtime_3d/models_pbr_v10/storage/TRASH_BIN_001.glb,True,2,2,6,6,0,0,True,True,292140
01_runtime_3d/models_pbr_v10/v4_characters/CHAR_FEMALE_HERO_V4_001.glb,True,16,5,21,21,0,0,True,True,1627872
01_runtime_3d/models_pbr_v10/v4_characters/CHAR_MALE_HERO_V4_001.glb,True,16,5,21,21,0,0,True,True,1660336
01_runtime_3d/models_pbr_v10/v4_characters/CHAR_RECEPTIONIST_HERO_V4_001.glb,True,16,5,21,21,0,0,True,True,1625568
01_runtime_3d/models_pbr_v10/v4_hero/HERO_GLASS_MEETING_ROOM_V4_001.glb,True,231,17,85,85,0,0,True,True,8036324
01_runtime_3d/models_pbr_v10/v4_hero/HERO_LOUNGE_BLUE_AREA_V4_001.glb,True,93,7,36,36,0,0,True,True,4892232
01_runtime_3d/models_pbr_v10/v4_hero/HERO_PANTRY_CAFE_V4_001.glb,True,69,7,36,36,0,0,True,True,2149184
01_runtime_3d/models_pbr_v10/v4_hero/HERO_RECEPTION_LOBBY_V4_001.glb,True,217,17,77,77,0,0,True,True,9033052
01_runtime_3d/models_pbr_v10/v4_hero/HERO_WORKSTATION_CLUSTER_V4_001.glb,True,289,16,68,68,0,0,True,True,7997872
